OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
1,26,6,4,13346.4,53385.6
2,114,49,1,27487.27,27487.27
3,8,11,3,21498.81,64496.43
4,15,3,3,44507.69,133523.07
5,96,19,3,20437.59,61312.77
6,63,28,2,17612.99,35225.98
7,145,34,4,48525.95,194103.8
8,44,44,2,45022.33,90044.66
9,157,12,1,47263.54,47263.54
10,175,25,5,13486.92,67434.6
11,150,16,4,48615.37,194461.48
12,119,10,2,8246.78,16493.56
13,118,41,3,33597.3,100791.9
14,120,17,1,10661.81,10661.81
15,41,19,5,20437.59,102187.95
16,89,5,4,17275.44,69101.76
17,164,38,3,28914.08,86742.24
18,117,28,3,17612.99,52838.97
19,99,20,2,46303.04,92606.08
20,61,31,1,48351.08,48351.08
21,92,25,5,13486.92,67434.6
22,180,37,3,49214.95,147644.85
23,169,19,1,20437.59,20437.59
24,3,26,3,19250.58,57751.74
25,156,37,1,49214.95,49214.95
26,74,48,4,8866.56,35466.24
27,156,50,2,10667.1,21334.2
28,163,23,2,16742.84,33485.68
29,65,13,5,27370.4,136852
30,161,44,2,45022.33,90044.66
31,80,7,1,45426.32,45426.32
32,149,29,1,11534.26,11534.26
33,24,24,2,33561.38,67122.76
34,192,19,3,20437.59,61312.77
35,52,27,2,11277.2,22554.4
36,94,9,5,16811.12,84055.6
37,70,34,5,48525.95,242629.75
38,124,11,3,21498.81,64496.43
39,30,19,3,20437.59,61312.77
40,37,30,1,20043.61,20043.61
41,174,49,2,27487.27,54974.54
42,143,47,4,47030.11,188120.44
43,102,24,1,33561.38,33561.38
44,138,1,3,27819.19,83457.57
45,95,8,4,21294.07,85176.28
46,150,44,3,45022.33,135066.99
47,28,25,3,13486.92,40460.76
48,121,44,2,45022.33,90044.66
49,144,2,5,46958.71,234793.55
50,57,21,5,48815.06,244075.3
51,163,42,1,47453.95,47453.95
52,167,30,3,20043.61,60130.83
53,36,27,1,11277.2,11277.2
54,78,3,1,44507.69,44507.69
55,25,32,1,25568.4,25568.4
56,35,16,5,48615.37,243076.85
57,95,25,4,13486.92,53947.68
58,108,43,5,15833,79165
59,107,38,2,28914.08,57828.16
60,126,42,1,47453.95,47453.95
61,72,40,4,27014.91,108059.64
62,56,3,3,44507.69,133523.07
63,61,29,4,11534.26,46137.04
64,176,24,1,33561.38,33561.38
65,166,24,5,33561.38,167806.9
66,102,23,1,16742.84,16742.84
67,32,18,2,17813.2,35626.4
68,170,30,1,20043.61,20043.61
69,6,14,5,27715.75,138578.75
70,63,4,3,13762.94,41288.82
71,53,9,5,16811.12,84055.6
72,54,5,5,17275.44,86377.2
73,60,38,2,28914.08,57828.16
74,153,22,2,20732.26,41464.52
75,38,1,3,27819.19,83457.57
76,65,9,5,16811.12,84055.6
77,170,12,1,47263.54,47263.54
78,4,2,2,46958.71,93917.42
79,151,23,2,16742.84,33485.68
80,45,21,1,48815.06,48815.06
81,33,17,1,10661.81,10661.81
82,135,48,4,8866.56,35466.24
83,122,8,1,21294.07,21294.07
84,132,29,3,11534.26,34602.78
85,116,38,1,28914.08,28914.08
86,158,33,2,16691.26,33382.52
87,78,3,5,44507.69,222538.45
88,16,30,1,20043.61,20043.61
89,110,31,4,48351.08,193404.32
90,126,44,1,45022.33,45022.33
91,19,46,4,27809.74,111238.96
92,156,6,3,13346.4,40039.2
93,33,10,1,8246.78,8246.78
94,163,18,5,17813.2,89066
95,183,38,5,28914.08,144570.4
96,153,21,4,48815.06,195260.24
97,117,34,3,48525.95,145577.85
98,111,33,5,16691.26,83456.3
99,168,7,1,45426.32,45426.32
100,185,42,5,47453.95,237269.75
101,116,14,4,27715.75,110863
102,87,15,4,15551.27,62205.08
103,107,30,4,20043.61,80174.44
104,81,47,1,47030.11,47030.11
105,171,28,3,17612.99,52838.97
106,40,17,3,10661.81,31985.43
107,18,44,4,45022.33,180089.32
108,24,6,1,13346.4,13346.4
109,191,28,1,17612.99,17612.99
110,34,48,3,8866.56,26599.68
111,151,36,1,36481.54,36481.54
112,85,36,5,36481.54,182407.7
113,106,43,1,15833,15833
114,185,23,4,16742.84,66971.36
115,154,4,3,13762.94,41288.82
116,27,20,3,46303.04,138909.12
117,55,37,5,49214.95,246074.75
118,58,10,4,8246.78,32987.12
119,143,7,3,45426.32,136278.96
120,196,24,1,33561.38,33561.38
121,58,18,5,17813.2,89066
122,197,28,5,17612.99,88064.95
123,173,40,5,27014.91,135074.55
124,7,42,5,47453.95,237269.75
125,8,39,3,21915.66,65746.98
126,180,12,3,47263.54,141790.62
127,87,49,3,27487.27,82461.81
128,47,23,1,16742.84,16742.84
129,169,10,5,8246.78,41233.9
130,37,26,1,19250.58,19250.58
131,24,48,1,8866.56,8866.56
132,56,48,5,8866.56,44332.8
133,117,25,4,13486.92,53947.68
134,95,22,2,20732.26,41464.52
135,199,20,3,46303.04,138909.12
136,22,37,5,49214.95,246074.75
137,41,4,2,13762.94,27525.88
138,13,49,5,27487.27,137436.35
139,70,44,1,45022.33,45022.33
140,125,29,4,11534.26,46137.04
141,107,39,4,21915.66,87662.64
142,194,18,2,17813.2,35626.4
143,89,33,1,16691.26,16691.26
144,73,28,1,17612.99,17612.99
145,125,44,5,45022.33,225111.65
146,12,34,3,48525.95,145577.85
147,154,15,4,15551.27,62205.08
148,53,4,1,13762.94,13762.94
149,197,20,2,46303.04,92606.08
150,75,9,3,16811.12,50433.36
151,2,21,1,48815.06,48815.06
152,45,32,4,25568.4,102273.6
153,137,9,4,16811.12,67244.48
154,129,46,2,27809.74,55619.48
155,19,36,3,36481.54,109444.62
156,112,26,1,19250.58,19250.58
157,20,2,4,46958.71,187834.84
158,110,21,5,48815.06,244075.3
159,182,37,4,49214.95,196859.8
160,75,41,4,33597.3,134389.2
161,6,8,4,21294.07,85176.28
162,159,21,2,48815.06,97630.12
163,23,30,3,20043.61,60130.83
164,63,28,1,17612.99,17612.99
165,103,28,5,17612.99,88064.95
166,102,34,1,48525.95,48525.95
167,57,20,3,46303.04,138909.12
168,20,22,2,20732.26,41464.52
169,136,33,1,16691.26,16691.26
170,199,33,2,16691.26,33382.52
171,187,23,3,16742.84,50228.52
172,61,42,2,47453.95,94907.9
173,66,7,2,45426.32,90852.64
174,155,13,2,27370.4,54740.8
175,46,10,1,8246.78,8246.78
176,119,50,4,10667.1,42668.4
177,195,49,5,27487.27,137436.35
178,175,38,4,28914.08,115656.32
179,83,37,5,49214.95,246074.75
180,39,41,3,33597.3,100791.9
181,121,29,1,11534.26,11534.26
182,71,29,3,11534.26,34602.78
183,91,38,1,28914.08,28914.08
184,80,33,1,16691.26,16691.26
185,10,30,4,20043.61,80174.44
186,74,4,3,13762.94,41288.82
187,158,5,1,17275.44,17275.44
188,99,39,5,21915.66,109578.3
189,142,30,5,20043.61,100218.05
190,116,48,1,8866.56,8866.56
191,83,37,2,49214.95,98429.9
192,129,39,4,21915.66,87662.64
193,116,10,1,8246.78,8246.78
194,183,7,3,45426.32,136278.96
195,166,6,5,13346.4,66732
196,64,12,1,47263.54,47263.54
197,113,46,4,27809.74,111238.96
198,157,34,5,48525.95,242629.75
199,96,11,3,21498.81,64496.43
200,105,19,4,20437.59,81750.36
201,174,50,3,10667.1,32001.3
202,162,39,1,21915.66,21915.66
203,17,42,3,47453.95,142361.85
204,143,22,1,20732.26,20732.26
205,73,44,4,45022.33,180089.32
206,39,17,5,10661.81,53309.05
207,150,22,1,20732.26,20732.26
208,90,43,2,15833,31666
209,34,20,4,46303.04,185212.16
210,80,39,1,21915.66,21915.66
211,165,36,4,36481.54,145926.16
212,172,22,2,20732.26,41464.52
213,24,45,5,20537.97,102689.85
214,131,42,4,47453.95,189815.8
215,93,24,1,33561.38,33561.38
216,55,20,2,46303.04,92606.08
217,50,22,4,20732.26,82929.04
218,40,15,2,15551.27,31102.54
219,26,5,3,17275.44,51826.32
220,190,33,5,16691.26,83456.3
221,170,34,1,48525.95,48525.95
222,34,22,5,20732.26,103661.3
223,40,39,4,21915.66,87662.64
224,178,11,2,21498.81,42997.62
225,43,50,5,10667.1,53335.5
226,12,47,4,47030.11,188120.44
227,174,27,3,11277.2,33831.6
228,114,47,2,47030.11,94060.22
229,193,40,3,27014.91,81044.73
230,60,48,4,8866.56,35466.24
231,80,35,2,2105.21,4210.42
232,95,31,2,48351.08,96702.16
233,113,44,5,45022.33,225111.65
234,200,30,3,20043.61,60130.83
235,136,25,5,13486.92,67434.6
236,52,27,2,11277.2,22554.4
237,65,39,2,21915.66,43831.32
238,96,4,4,13762.94,55051.76
239,183,36,1,36481.54,36481.54
240,73,34,1,48525.95,48525.95
241,70,6,2,13346.4,26692.8
242,38,29,5,11534.26,57671.3
243,57,28,1,17612.99,17612.99
244,7,29,3,11534.26,34602.78
245,102,27,1,11277.2,11277.2
246,61,33,3,16691.26,50073.78
247,96,25,1,13486.92,13486.92
248,82,15,1,15551.27,15551.27
249,38,7,3,45426.32,136278.96
250,74,9,1,16811.12,16811.12
251,195,31,2,48351.08,96702.16
252,115,46,4,27809.74,111238.96
253,21,40,1,27014.91,27014.91
254,56,2,3,46958.71,140876.13
255,187,10,5,8246.78,41233.9
256,109,39,5,21915.66,109578.3
257,61,8,3,21294.07,63882.21
258,13,20,1,46303.04,46303.04
259,164,16,4,48615.37,194461.48
260,17,40,4,27014.91,108059.64
261,153,8,4,21294.07,85176.28
262,162,35,1,2105.21,2105.21
263,62,33,5,16691.26,83456.3
264,75,46,2,27809.74,55619.48
265,158,28,1,17612.99,17612.99
266,147,23,2,16742.84,33485.68
267,171,27,2,11277.2,22554.4
268,135,43,1,15833,15833
269,135,24,1,33561.38,33561.38
270,130,35,5,2105.21,10526.05
271,100,36,1,36481.54,36481.54
272,163,31,1,48351.08,48351.08
273,65,25,3,13486.92,40460.76
274,92,48,1,8866.56,8866.56
275,62,5,3,17275.44,51826.32
276,198,47,1,47030.11,47030.11
277,35,38,3,28914.08,86742.24
278,140,3,3,44507.69,133523.07
279,200,22,2,20732.26,41464.52
280,179,44,4,45022.33,180089.32
281,35,31,2,48351.08,96702.16
282,10,5,4,17275.44,69101.76
283,12,19,2,20437.59,40875.18
284,81,13,1,27370.4,27370.4
285,102,20,5,46303.04,231515.2
286,65,35,4,2105.21,8420.84
287,74,3,2,44507.69,89015.38
288,168,23,1,16742.84,16742.84
289,32,22,3,20732.26,62196.78
290,103,24,4,33561.38,134245.52
291,99,48,4,8866.56,35466.24
292,128,22,2,20732.26,41464.52
293,95,45,4,20537.97,82151.88
294,22,34,3,48525.95,145577.85
295,21,47,4,47030.11,188120.44
296,47,28,5,17612.99,88064.95
297,83,35,3,2105.21,6315.63
298,84,7,1,45426.32,45426.32
299,79,43,3,15833,47499
300,184,29,5,11534.26,57671.3
301,177,28,2,17612.99,35225.98
302,115,29,3,11534.26,34602.78
303,158,3,3,44507.69,133523.07
304,164,28,3,17612.99,52838.97
305,172,4,1,13762.94,13762.94
306,94,41,4,33597.3,134389.2
307,8,33,2,16691.26,33382.52
308,174,10,5,8246.78,41233.9
309,33,29,1,11534.26,11534.26
310,200,5,2,17275.44,34550.88
311,93,42,3,47453.95,142361.85
312,9,25,5,13486.92,67434.6
313,174,39,2,21915.66,43831.32
314,96,29,3,11534.26,34602.78
315,147,29,1,11534.26,11534.26
316,94,9,5,16811.12,84055.6
317,167,26,3,19250.58,57751.74
318,30,18,2,17813.2,35626.4
319,128,2,2,46958.71,93917.42
320,144,34,4,48525.95,194103.8
321,199,8,3,21294.07,63882.21
322,55,17,4,10661.81,42647.24
323,178,40,3,27014.91,81044.73
324,32,32,2,25568.4,51136.8
325,116,9,1,16811.12,16811.12
326,23,12,4,47263.54,189054.16
327,171,44,3,45022.33,135066.99
328,141,23,1,16742.84,16742.84
329,77,35,3,2105.21,6315.63
330,93,11,2,21498.81,42997.62
