OrderID,CustomerID,OrderDate,TotalAmount,OrderStatus
1,84,19-04-2026,58208.49,Pending
2,57,08-09-2025,46766.32,Cancelled
3,61,11-12-2025,21763.29,Cancelled
4,11,01-11-2025,17384.29,Pending
5,82,25-10-2025,51787.47,Cancelled
6,97,08-12-2025,33851.23,Delivered
7,29,13-05-2026,67443.17,Delivered
8,6,28-01-2026,15161.72,Delivered
9,79,31-12-2025,98401.63,Delivered
10,81,26-05-2025,45813.91,Cancelled
11,90,19-05-2026,19846.31,Pending
12,32,10-05-2026,49690.53,Delivered
13,1,11-06-2025,65777.77,Delivered
14,29,16-09-2025,77952.83,Delivered
15,90,03-10-2025,80508.93,Cancelled
16,72,21-08-2025,46722.71,Delivered
17,16,01-08-2025,91788.27,Pending
18,60,06-09-2025,13767.24,Cancelled
19,72,15-03-2026,53347.62,Cancelled
20,97,22-02-2026,32071.15,Pending
21,93,26-02-2026,61458.91,Cancelled
22,71,30-06-2025,42960.71,Pending
23,96,18-02-2026,89772.21,Pending
24,97,05-08-2025,45281.94,Delivered
25,36,24-03-2026,84066.36,Cancelled
26,31,15-07-2025,48717.4,Pending
27,92,13-03-2026,44267.32,Pending
28,43,27-11-2025,23832.11,Pending
29,11,24-03-2026,89356.17,Delivered
30,50,19-04-2026,15507.65,Cancelled
31,28,04-02-2026,15704.12,Delivered
32,43,26-05-2025,41779.36,Cancelled
33,8,21-10-2025,46859.47,Delivered
34,50,27-06-2025,83372.67,Cancelled
35,3,06-06-2025,94633.17,Cancelled
36,1,04-06-2025,38347.91,Pending
37,50,13-02-2026,30211.96,Pending
38,95,27-11-2025,54052.95,Cancelled
39,29,14-12-2025,80086.88,Pending
40,56,29-08-2025,22332.45,Pending
41,44,09-11-2025,3387.97,Cancelled
42,52,08-09-2025,68074.62,Cancelled
43,60,03-12-2025,16921.95,Delivered
44,69,30-06-2025,98081.84,Delivered
45,76,17-03-2026,90739.42,Cancelled
46,11,03-12-2025,66468.48,Cancelled
47,60,31-03-2026,43146.97,Delivered
48,49,25-08-2025,5503.32,Pending
49,42,10-08-2025,21560.2,Pending
50,49,11-02-2026,76242.36,Pending
51,54,20-02-2026,75324.98,Pending
52,61,16-01-2026,83573.64,Delivered
53,7,22-03-2026,75027.91,Pending
54,9,16-11-2025,22810.11,Cancelled
55,4,26-01-2026,4505.68,Delivered
56,3,03-08-2025,20336.39,Cancelled
57,17,04-04-2026,15662.04,Pending
58,73,22-05-2026,67111.16,Delivered
59,33,24-11-2025,46770.88,Pending
60,78,19-11-2025,17195.02,Cancelled
61,100,02-06-2025,71976.54,Delivered
62,14,30-10-2025,96489.72,Cancelled
63,40,27-12-2025,3055,Cancelled
64,49,29-09-2025,67896.06,Pending
65,26,11-01-2026,94176.32,Delivered
66,81,22-08-2025,59413.74,Delivered
67,99,27-03-2026,10639.18,Pending
68,77,07-08-2025,85104.18,Delivered
69,73,27-06-2025,79724.61,Delivered
70,55,05-02-2026,35046.77,Cancelled
71,65,23-04-2026,37371.8,Cancelled
72,54,09-05-2026,34452.5,Pending
73,47,06-06-2025,11001.12,Cancelled
74,59,01-12-2025,89211.71,Cancelled
75,23,10-12-2025,15722.62,Cancelled
76,84,01-12-2025,52413.8,Pending
77,69,21-03-2026,61783.28,Pending
78,94,15-05-2026,46754.94,Cancelled
79,32,02-09-2025,27205.36,Delivered
80,58,23-01-2026,28253.36,Delivered
81,73,23-02-2026,75172.39,Cancelled
82,44,20-07-2025,66984.75,Delivered
83,42,13-01-2026,49683.5,Delivered
84,46,19-09-2025,49011.22,Pending
85,77,21-10-2025,34363.71,Cancelled
86,72,15-07-2025,88070.68,Delivered
87,25,09-07-2025,51904.41,Delivered
88,53,15-01-2026,24514.93,Pending
89,31,21-03-2026,55740.03,Cancelled
90,92,07-03-2026,47871.26,Pending
91,3,09-05-2026,45093.37,Delivered
92,52,03-03-2026,29776.44,Cancelled
93,85,07-02-2026,24708.86,Cancelled
94,71,24-05-2025,37217.53,Cancelled
95,96,17-02-2026,34703.86,Cancelled
96,90,06-05-2026,33413.73,Pending
97,33,17-08-2025,27456.18,Delivered
98,25,25-10-2025,12505.26,Pending
99,69,13-04-2026,12395.7,Cancelled
100,28,19-01-2026,18922.41,Cancelled
101,93,07-06-2025,48677.76,Cancelled
102,68,28-05-2025,97672.4,Cancelled
103,13,05-03-2026,28658.37,Delivered
104,47,23-05-2026,29976.52,Delivered
105,91,03-07-2025,30575.63,Cancelled
106,6,27-05-2025,13095,Delivered
107,90,04-09-2025,55559.22,Delivered
108,97,05-03-2026,63968.03,Pending
109,2,15-02-2026,10707.47,Cancelled
110,62,12-06-2025,28791.76,Pending
111,7,27-10-2025,34400.24,Pending
112,62,09-10-2025,94135.83,Delivered
113,52,10-05-2026,82300.51,Pending
114,81,08-04-2026,7871.18,Cancelled
115,20,21-10-2025,5834.1,Cancelled
116,11,05-02-2026,94938,Delivered
117,98,04-10-2025,12285.93,Pending
118,80,21-04-2026,60828.61,Delivered
119,49,02-05-2026,77681.51,Pending
120,39,02-01-2026,90896.19,Cancelled
121,40,20-09-2025,99008.11,Cancelled
122,79,11-08-2025,62292.22,Cancelled
123,98,01-02-2026,10373.74,Delivered
124,34,11-11-2025,62738.75,Cancelled
125,31,02-09-2025,8578.15,Delivered
126,21,20-05-2026,55423.23,Delivered
127,89,10-05-2026,41147.5,Cancelled
128,5,02-09-2025,47256.29,Delivered
129,37,25-08-2025,29166.44,Cancelled
130,10,10-05-2026,86030.87,Cancelled
131,34,29-04-2026,23725.67,Cancelled
132,26,12-11-2025,59184.06,Pending
133,29,19-10-2025,11920.24,Cancelled
134,35,05-09-2025,15324.45,Delivered
135,22,15-03-2026,7605.28,Pending
136,73,17-04-2026,59706.88,Pending
137,60,08-07-2025,44195.77,Cancelled
138,52,01-02-2026,30757.07,Pending
139,64,08-06-2025,50296.98,Pending
140,6,30-11-2025,8503.96,Pending
141,78,10-02-2026,73586.13,Pending
142,30,13-08-2025,3073.56,Cancelled
143,74,12-05-2026,83677.88,Cancelled
144,98,19-12-2025,95103.23,Cancelled
145,74,06-10-2025,82231.41,Delivered
146,23,16-02-2026,76429.35,Pending
147,57,03-06-2025,52136.9,Pending
148,75,19-01-2026,18558.17,Pending
