ProductID,ProductName,CategoryID,Price,StockQuantity
1,Protein Powder 1,11,27819.19,487
2,Shoes 2,11,46958.71,78
3,Shoes 3,5,44507.69,390
4,Watch 4,9,13762.94,319
5,Sofa 5,4,17275.44,361
6,Protein Powder 6,11,13346.4,260
7,Toy Car 7,5,45426.32,36
8,T-Shirt 8,2,21294.07,151
9,Laptop 9,1,16811.12,76
10,Mouse 10,11,8246.78,236
11,Sofa 11,9,21498.81,14
12,Shoes 12,2,47263.54,363
13,Watch 13,15,27370.4,437
14,Yoga Mat 14,6,27715.75,230
15,Laptop 15,3,15551.27,470
16,Backpack 16,15,48615.37,30
17,Mixer 17,15,10661.81,137
18,Shoes 18,11,17813.2,296
19,Protein Powder 19,15,20437.59,327
20,Watch 20,12,46303.04,131
21,Watch 21,14,48815.06,425
22,Toy Car 22,3,20732.26,101
23,Toy Car 23,12,16742.84,486
24,Backpack 24,7,33561.38,386
25,Keyboard 25,13,13486.92,413
26,Shoes 26,12,19250.58,29
27,Book 27,14,11277.2,428
28,Book 28,15,17612.99,430
29,Protein Powder 29,13,11534.26,22
30,Keyboard 30,11,20043.61,152
31,Shoes 31,14,48351.08,152
32,T-Shirt 32,6,25568.4,357
33,Gaming Console 33,14,16691.26,24
34,Toy Car 34,2,48525.95,101
35,Mouse 35,10,2105.21,315
36,Mixer 36,7,36481.54,170
37,Yoga Mat 37,7,49214.95,69
38,Toy Car 38,7,28914.08,140
39,Sofa 39,1,21915.66,276
40,Backpack 40,15,27014.91,378
41,Sofa 41,12,33597.3,196
42,Shoes 42,7,47453.95,481
43,Yoga Mat 43,6,15833.0,444
44,Sofa 44,2,45022.33,269
45,T-Shirt 45,5,20537.97,216
46,Mouse 46,12,27809.74,108
47,T-Shirt 47,7,47030.11,356
48,Toy Car 48,12,8866.56,301
49,Microwave 49,5,27487.27,10
50,Mouse 50,5,10667.1,412
