TransactionID,OrderID,TransactionDate,PaymentMethod,PaymentStatus,TransactionAmount
1,1,2025-09-03,Debit Card,Success,20306.26
2,2,2025-09-25,Net Banking,Pending,4505.36
3,3,2025-10-21,UPI,Success,71502.39
4,4,2025-08-07,Net Banking,Pending,45970.36
5,5,2025-10-22,Credit Card,Failed,93171.19
6,6,2026-04-28,Debit Card,Success,39598.98
7,7,2026-03-18,Debit Card,Pending,33969.16
8,8,2025-09-12,Net Banking,Pending,56510.96
9,9,2025-11-25,Net Banking,Success,37151.6
10,10,2025-12-29,UPI,Failed,58578.36
11,11,2025-12-22,UPI,Pending,47721.73
12,12,2025-12-13,Credit Card,Pending,5609.84
13,13,2026-02-10,Net Banking,Success,52661.12
14,14,2025-10-30,Net Banking,Success,82255.3
15,15,2025-10-31,Credit Card,Success,57470.74
16,16,2026-04-17,UPI,Success,2384.27
17,17,2025-08-17,Debit Card,Failed,15567.41
18,18,2025-09-15,Credit Card,Failed,50431.04
19,19,2026-04-11,Net Banking,Pending,72876.51
20,20,2025-12-30,Credit Card,Pending,21130.5
21,21,2025-06-19,Debit Card,Pending,48097.91
22,22,2026-01-09,Net Banking,Failed,95690.21
23,23,2026-02-09,Net Banking,Pending,34561.54
24,24,2025-11-17,Debit Card,Pending,77312.98
25,25,2025-08-11,Debit Card,Pending,48675.92
26,26,2025-05-26,Credit Card,Failed,56029.62
27,27,2026-03-02,Credit Card,Failed,77231.84
28,28,2026-01-09,Credit Card,Pending,70646.33
29,29,2026-02-26,Debit Card,Failed,35205.92
30,30,2026-02-18,Debit Card,Failed,12626.47
31,31,2025-07-24,Net Banking,Failed,81928.56
32,32,2025-11-09,Credit Card,Failed,4685.62
33,33,2025-10-16,UPI,Failed,92438.96
34,34,2025-07-14,Debit Card,Pending,48168.39
35,35,2026-04-23,Credit Card,Pending,27477.71
36,36,2025-10-29,Debit Card,Success,11368.04
37,37,2025-11-09,Credit Card,Success,5551.16
38,38,2025-08-04,Credit Card,Pending,23667.24
39,39,2025-09-15,UPI,Failed,33364.22
40,40,2026-01-29,Net Banking,Success,68278.6
41,41,2026-01-07,Credit Card,Success,96469.62
42,42,2026-03-05,Credit Card,Failed,65462.83
43,43,2026-03-06,Net Banking,Failed,65228.6
44,44,2025-12-09,Debit Card,Failed,28898.83
45,45,2025-12-10,UPI,Success,65403.72
46,46,2025-12-02,Credit Card,Pending,73999.31
47,47,2025-07-21,UPI,Success,42079.56
48,48,2026-01-26,Credit Card,Success,99718.59
49,49,2025-07-15,Net Banking,Failed,19038.01
50,50,2026-02-19,Debit Card,Success,1422.08
51,51,2025-09-07,UPI,Failed,28813.88
52,52,2026-03-26,Net Banking,Success,85180.44
53,53,2025-07-05,Net Banking,Failed,19684.73
54,54,2026-03-28,UPI,Failed,16668.18
55,55,2025-11-24,Net Banking,Pending,26097.86
56,56,2025-12-15,Credit Card,Success,73793.48
57,57,2025-09-15,Debit Card,Pending,67602.91
58,58,2026-01-05,Credit Card,Success,61289.97
59,59,2026-01-07,Net Banking,Failed,51770.43
60,60,2025-12-29,UPI,Failed,67090.96
61,61,2025-08-24,Credit Card,Success,48006.68
62,62,2026-04-22,Credit Card,Success,26448.14
63,63,2025-10-17,Credit Card,Failed,75498.79
64,64,2025-09-12,Debit Card,Failed,58454.84
65,65,2025-06-21,UPI,Failed,65541.5
66,66,2026-05-13,Credit Card,Success,66944.72
67,67,2025-05-29,Net Banking,Failed,16391.82
68,68,2026-05-23,Debit Card,Pending,12182.87
69,69,2026-02-03,Debit Card,Failed,61655.23
70,70,2025-10-31,Credit Card,Success,48079.1
71,71,2025-08-22,Net Banking,Pending,98889.38
72,72,2026-01-18,Debit Card,Failed,70343.1
73,73,2025-06-17,Net Banking,Pending,80298.5
74,74,2025-06-06,Credit Card,Success,68194.02
75,75,2025-11-09,UPI,Pending,44951.42
76,76,2026-01-13,Debit Card,Success,91765.85
77,77,2025-07-21,UPI,Success,82963.02
78,78,2025-11-29,Credit Card,Pending,53897.69
79,79,2026-04-16,Credit Card,Failed,85521.36
80,80,2025-07-15,Net Banking,Success,68189.38
81,81,2026-03-16,Net Banking,Success,89939.49
82,82,2025-11-30,Net Banking,Success,45616.51
83,83,2026-02-19,Net Banking,Failed,56609.16
84,84,2026-03-10,Net Banking,Pending,80788.08
