payment_id,user_id,amount,payment_date
P00001,U00563,49.0,2025-08-23
P00002,U00326,199.0,2025-04-03
P00003,U00887,49.0,2026-05-11
P00004,U00824,49.0,2025-12-27
P00005,U00320,99.0,2026-02-08
P00006,U00596,499.0,2025-10-19
P00007,U00600,-99.0,2025-10-06
P00008,U00352,499.0,2025-11-22
P00009,U00601,,2026-03-18
P00010,U00224,-99.0,2025-12-15
P00011,U00825,99.0,2025-05-19
P00012,U00128,99.0,2025-10-13
P00013,U00121,99.0,2026-05-16
P00014,U00632,49.0,2025-05-27
P00015,U00027,199.0,2026-02-25
P00016,U00284,199.0,2025-08-09
P00017,U00560,49.0,2025-03-23
P00018,U00737,199.0,2025-11-14
P00019,U00654,199.0,2025-01-25
P00020,U00126,-99.0,2025-11-08
P00021,U00679,,2025-12-28
P00022,U00834,-99.0,2025-01-11
P00023,U00990,199.0,2025-04-19
P00024,U00525,,2026-01-07
P00025,U00517,99.0,2026-03-23
P00026,U00604,499.0,2025-03-11
P00027,U00215,499.0,2025-02-11
P00028,U00124,-99.0,2025-06-18
P00029,U00466,,2025-09-10
P00030,U00809,499.0,2025-10-30
P00031,U00916,199.0,2025-02-18
P00032,U00162,,2025-06-01
P00033,U00979,49.0,2025-09-05
P00034,U00940,,2025-11-12
P00035,U00694,-99.0,2026-02-06
P00036,U00271,99.0,2025-04-21
P00037,U00674,-99.0,2025-10-15
P00038,U00183,49.0,2025-11-28
P00039,U00791,49.0,2025-06-04
P00040,U00725,49.0,2025-10-22
P00041,U00171,99.0,2025-05-24
P00042,U00743,199.0,2025-01-07
P00043,U00730,,2026-04-27
P00044,U00783,,2026-03-10
P00045,U00401,199.0,2025-05-18
P00046,U00188,99.0,2026-02-11
P00047,U00652,199.0,2025-03-04
P00048,U00429,-99.0,2025-08-20
P00049,U00981,49.0,2025-03-28
P00050,U00515,49.0,2025-02-07
P00051,U00402,499.0,2025-06-21
P00052,U00988,,2025-12-12
P00053,U00992,,2025-01-19
P00054,U00883,99.0,2025-03-17
P00055,U00016,-99.0,2025-12-21
P00056,U00752,-99.0,2025-04-01
P00057,U00264,499.0,2025-01-27
P00058,U00474,499.0,2025-04-03
P00059,U00871,499.0,2025-04-16
P00060,U00835,99.0,2025-08-19
P00061,U00258,-99.0,2026-04-15
P00062,U00141,,2025-06-26
P00063,U00386,49.0,2025-03-28
P00064,U00552,199.0,2025-05-01
P00065,U00600,99.0,2025-04-16
P00066,U00120,49.0,2025-05-05
P00067,U00178,49.0,2025-01-21
P00068,U00576,99.0,2025-01-22
P00069,U00915,,2026-01-02
P00070,U00779,199.0,2025-10-08
P00071,U00105,49.0,2025-12-12
P00072,U00685,499.0,2025-07-12
P00073,U00610,99.0,2025-10-05
P00074,U00089,,2025-05-08
P00075,U00391,49.0,2025-11-27
P00076,U00131,-99.0,2025-02-22
P00077,U00803,-99.0,2025-08-05
P00078,U00117,499.0,2025-02-21
P00079,U00541,199.0,2025-08-28
P00080,U00397,99.0,2025-06-05
P00081,U00508,99.0,2025-12-27
P00082,U00716,499.0,2025-12-22
P00083,U00338,,2026-05-10
P00084,U00562,,2025-02-11
P00085,U00906,-99.0,2026-02-06
P00086,U00040,-99.0,2025-12-21
P00087,U00089,199.0,2026-02-02
P00088,U00301,-99.0,2025-06-24
P00089,U00805,49.0,2025-11-27
P00090,U00979,49.0,2026-05-15
P00091,U00213,49.0,2025-01-26
P00092,U00569,99.0,2025-08-13
P00093,U00763,499.0,2025-05-06
P00094,U00114,499.0,2025-05-27
P00095,U00908,49.0,2025-10-26
P00096,U00885,499.0,2025-06-17
P00097,U00377,499.0,2025-04-20
P00098,U00305,49.0,2025-01-09
