customer_id,customer_name,customer_type,country
C001,Customer_1,Corporate,Canada
C002,Customer_2,Retail,France
C003,Customer_3,Retail,Germany
C004,Customer_4,Retail,Canada
C005,Customer_5,Corporate,Canada
C006,Customer_6,Corporate,Australia
C007,Customer_7,Retail,USA
C008,Customer_8,Retail,Germany
C009,Customer_9,Retail,USA
C010,Customer_10,Corporate,Germany
C011,Customer_11,Corporate,Australia
C012,Customer_12,Retail,Singapore
C013,Customer_13,Corporate,France
C014,Customer_14,Retail,UK
C015,Customer_15,Corporate,Australia
C016,Customer_16,Wholesale,France
C017,Customer_17,Retail,Germany
C018,Customer_18,Wholesale,Canada
C019,Customer_19,Retail,Australia
C020,Customer_20,Retail,India
C021,Customer_21,Wholesale,France
C022,Customer_22,Retail,Singapore
C023,Customer_23,Corporate,Canada
C024,Customer_24,Wholesale,Canada
C025,Customer_25,Corporate,France
C026,Customer_26,Corporate,India
C027,Customer_27,Corporate,Germany
C028,Customer_28,Corporate,Canada
C029,Customer_29,Retail,Germany
C030,Customer_30,Wholesale,Canada
C031,Customer_31,Retail,Canada
C032,Customer_32,Wholesale,France
C033,Customer_33,Wholesale,India
C034,Customer_34,Retail,India
C035,Customer_35,Wholesale,Germany
C036,Customer_36,Corporate,France
C037,Customer_37,Corporate,Canada
C038,Customer_38,Corporate,UK
C039,Customer_39,Corporate,Germany
C040,Customer_40,Retail,Singapore
C041,Customer_41,Wholesale,France
C042,Customer_42,Corporate,Germany
C043,Customer_43,Corporate,India
C044,Customer_44,Retail,Germany
C045,Customer_45,Retail,India
C046,Customer_46,Wholesale,France
C047,Customer_47,Retail,Germany
C048,Customer_48,Corporate,India
C049,Customer_49,Retail,Singapore
C050,Customer_50,Wholesale,Singapore
C051,Customer_51,Retail,France
C052,Customer_52,Retail,Germany
C053,Customer_53,Corporate,France
C054,Customer_54,Corporate,Australia
C055,Customer_55,Corporate,Australia
C056,Customer_56,Wholesale,Germany
C057,Customer_57,Retail,Singapore
C058,Customer_58,Retail,USA
C059,Customer_59,Retail,UK
C060,Customer_60,Corporate,UK
C061,Customer_61,Corporate,Australia
C062,Customer_62,Corporate,Canada
C063,Customer_63,Wholesale,Australia
C064,Customer_64,Corporate,Singapore
C065,Customer_65,Corporate,France
C066,Customer_66,Corporate,USA
C067,Customer_67,Corporate,Canada
C068,Customer_68,Corporate,France
C069,Customer_69,Corporate,India
C070,Customer_70,Retail,France
C071,Customer_71,Wholesale,UK
C072,Customer_72,Wholesale,USA
C073,Customer_73,Corporate,France
C074,Customer_74,Corporate,UK
C075,Customer_75,Corporate,Canada
C076,Customer_76,Corporate,France
C077,Customer_77,Corporate,Germany
C078,Customer_78,Retail,India
C079,Customer_79,Retail,USA
C080,Customer_80,Corporate,India
C081,Customer_81,Wholesale,USA
C082,Customer_82,Retail,India
C083,Customer_83,Wholesale,Germany
C084,Customer_84,Retail,Germany
C085,Customer_85,Corporate,Canada
C086,Customer_86,Retail,Singapore
C087,Customer_87,Retail,UK
C088,Customer_88,Retail,Singapore
C089,Customer_89,Corporate,UK
C090,Customer_90,Wholesale,Australia
C091,Customer_91,Retail,Germany
C092,Customer_92,Corporate,France
C093,Customer_93,Wholesale,India
C094,Customer_94,Wholesale,Singapore
C095,Customer_95,Retail,Germany
C096,Customer_96,Retail,Canada
C097,Customer_97,Wholesale,USA
C098,Customer_98,Corporate,Germany
C099,Customer_99,Corporate,Germany
C100,Customer_100,Retail,Canada
