posting_id,invoice_id,ledger_account,debit_amount,credit_amount,posting_status
GL00001,INV00001,Sales Revenue,0,682,Posted
GL00002,INV00002,Sales Revenue,0,2906,Posted
GL00003,INV00003,Receivables,2481,0,Pending
GL00004,INV00004,Sales Revenue,0,4617,Posted
GL00005,INV00005,Sales Revenue,0,4920,Posted
GL00006,INV00006,Sales Revenue,0,3534,Posted
GL00007,INV00007,Sales Revenue,0,3731,Posted
GL00008,INV00008,Refunds,4025,0,Failed
GL00009,INV00009,Sales Revenue,0,1006,Posted
GL00010,INV00010,Sales Revenue,0,1095,Posted
GL00011,INV00011,Sales Revenue,0,4593,Posted
GL00012,INV00012,Sales Revenue,0,1703,Posted
GL00013,INV00013,Sales Revenue,0,817,Posted
GL00014,INV00014,Receivables,614,0,Pending
GL00015,INV00015,Refunds,964,0,Failed
GL00016,INV00016,Sales Revenue,0,3529,Posted
GL00017,INV00017,Sales Revenue,0,3485,Posted
GL00018,INV00018,Sales Revenue,0,217,Posted
GL00019,INV00019,Sales Revenue,0,2536,Posted
GL00020,INV00020,Sales Revenue,0,4186,Posted
GL00021,INV00021,Sales Revenue,0,1983,Posted
GL00022,INV00022,Refunds,699,0,Failed
GL00023,INV00023,Receivables,610,0,Pending
GL00024,INV00024,Sales Revenue,0,4550,Posted
GL00025,INV00025,Sales Revenue,0,856,Posted
GL00026,INV00026,Receivables,756,0,Pending
GL00027,INV00027,Receivables,1182,0,Pending
GL00028,INV00028,Receivables,525,0,Pending
GL00029,INV00029,Receivables,4981,0,Pending
GL00030,INV00030,Sales Revenue,0,2336,Posted
GL00031,INV00031,Sales Revenue,0,2155,Posted
GL00032,INV00032,Sales Revenue,0,2657,Posted
GL00033,INV00033,Sales Revenue,0,276,Posted
GL00034,INV00034,Sales Revenue,0,1019,Posted
GL00035,INV00035,Sales Revenue,0,4344,Posted
GL00036,INV00036,Sales Revenue,0,763,Posted
GL00037,INV00037,Sales Revenue,0,1492,Posted
GL00038,INV00038,Receivables,2678,0,Pending
GL00039,INV00039,Receivables,264,0,Pending
GL00040,INV00040,Sales Revenue,0,1048,Posted
GL00041,INV00041,Refunds,1076,0,Failed
GL00042,INV00042,Sales Revenue,0,2431,Posted
GL00043,INV00043,Sales Revenue,0,3008,Posted
GL00044,INV00044,Sales Revenue,0,2362,Posted
GL00045,INV00045,Sales Revenue,0,616,Posted
GL00046,INV00046,Sales Revenue,0,2466,Posted
GL00047,INV00047,Receivables,1271,0,Pending
GL00048,INV00048,Receivables,3819,0,Pending
GL00049,INV00049,Sales Revenue,0,4794,Posted
GL00050,INV00050,Sales Revenue,0,1421,Posted
GL00051,INV00051,Receivables,4971,0,Pending
GL00052,INV00052,Sales Revenue,0,1244,Posted
GL00053,INV00053,Sales Revenue,0,526,Posted
GL00054,INV00054,Receivables,2244,0,Pending
GL00055,INV00055,Sales Revenue,0,4786,Posted
GL00056,INV00056,Sales Revenue,0,2139,Posted
GL00057,INV00057,Sales Revenue,0,403,Posted
GL00058,INV00058,Receivables,3572,0,Pending
GL00059,INV00059,Sales Revenue,0,2385,Posted
