invoice_id,customer_id,invoice_date,invoice_amount,invoice_status
INV00001,C091,2025-06-11,682,Posted
INV00002,C009,2025-01-09,2906,Posted
INV00003,C066,2025-03-02,2481,Pending
INV00004,C063,2025-02-24,4617,Posted
INV00005,C093,2025-05-27,4920,Posted
INV00006,C032,2025-05-02,3534,Posted
INV00007,C013,2025-01-25,3731,Posted
INV00008,C055,2025-04-16,4025,Failed
INV00009,C007,2025-06-22,1006,Posted
INV00010,C052,2025-03-28,1095,Posted
INV00011,C025,2025-02-18,4593,Posted
INV00012,C018,2025-04-19,1703,Posted
INV00013,C060,2025-03-05,817,Posted
INV00014,C071,2025-01-26,614,Pending
INV00015,C070,2025-01-04,964,Failed
INV00016,C031,2025-02-12,3529,Posted
INV00017,C062,2025-02-24,3485,Posted
INV00018,C022,2025-04-08,217,Posted
INV00019,C034,2025-04-27,2536,Posted
INV00020,C090,2025-05-23,4186,Posted
INV00021,C025,2025-03-17,1983,Posted
INV00022,C075,2025-05-19,699,Failed
INV00023,C041,2025-01-15,610,Pending
INV00024,C062,2025-05-09,4550,Posted
INV00025,C008,2025-05-11,856,Posted
INV00026,C009,2025-06-02,756,Pending
INV00027,C031,2025-04-14,1182,Pending
INV00028,C032,2025-05-29,525,Pending
INV00029,C011,2025-04-18,4981,Pending
INV00030,C067,2025-03-22,2336,Posted
INV00031,C086,2025-03-22,2155,Posted
INV00032,C051,2025-02-03,2657,Posted
INV00033,C041,2025-01-19,276,Posted
INV00034,C080,2025-05-25,1019,Posted
INV00035,C069,2025-02-24,4344,Posted
INV00036,C017,2025-03-31,763,Posted
INV00037,C048,2025-03-14,1492,Posted
INV00038,C070,2025-06-30,2678,Pending
INV00039,C084,2025-05-16,264,Pending
INV00040,C071,2025-03-18,1048,Posted
INV00041,C034,2025-01-30,1076,Failed
INV00042,C071,2025-02-09,2431,Posted
INV00043,C078,2025-02-23,3008,Posted
INV00044,C088,2025-06-12,2362,Posted
INV00045,C063,2025-03-06,616,Posted
INV00046,C082,2025-04-19,2466,Posted
INV00047,C001,2025-03-27,1271,Pending
INV00048,C034,2025-02-11,3819,Pending
INV00049,C091,2025-04-20,4794,Posted
INV00050,C015,2025-01-20,1421,Posted
INV00051,C005,2025-04-05,4971,Pending
INV00052,C019,2025-04-21,1244,Posted
INV00053,C040,2025-04-04,526,Posted
INV00054,C027,2025-06-24,2244,Pending
INV00055,C014,2025-04-01,4786,Posted
INV00056,C080,2025-02-09,2139,Posted
INV00057,C023,2025-04-16,403,Posted
INV00058,C095,2025-03-27,3572,Pending
INV00059,C095,2025-03-05,2385,Posted
INV00060,C090,2025-01-28,3333,Posted
INV00061,C061,2025-02-26,1834,Posted
INV00062,C045,2025-03-20,2064,Posted
INV00063,C004,2025-06-18,1782,Posted
INV00064,C043,2025-03-13,768,Failed
INV00065,C036,2025-03-31,4373,Posted
INV00066,C087,2025-05-18,2912,Posted
INV00067,C015,2025-03-08,1662,Pending
INV00068,C034,2025-01-10,1088,Pending
INV00069,C056,2025-03-30,2769,Posted
INV00070,C078,2025-05-11,1147,Posted
INV00071,C074,2025-02-18,2286,Posted
INV00072,C091,2025-04-22,213,Posted
INV00073,C069,2025-06-25,1814,Posted
INV00074,C056,2025-01-18,2904,Pending
INV00075,C041,2025-06-19,1220,Failed
INV00076,C039,2025-05-10,2733,Pending
INV00077,C053,2025-03-25,3496,Pending
INV00078,C038,2025-05-22,1242,Posted
INV00079,C054,2025-06-20,3305,Pending
INV00080,C096,2025-02-14,4862,Posted
INV00081,C052,2025-05-21,203,Posted
INV00082,C037,2025-02-23,3721,Pending
INV00083,C078,2025-06-17,2839,Posted
INV00084,C057,2025-04-24,1950,Posted
INV00085,C061,2025-02-13,894,Posted
INV00086,C066,2025-06-19,2945,Posted
INV00087,C097,2025-03-02,2742,Posted
INV00088,C026,2025-02-07,400,Posted
INV00089,C032,2025-05-02,796,Posted
INV00090,C054,2025-06-11,4915,Posted
INV00091,C092,2025-06-28,3345,Posted
INV00092,C052,2025-03-04,1408,Pending
INV00093,C089,2025-01-02,1073,Failed
INV00094,C055,2025-02-26,1640,Pending
INV00095,C067,2025-04-29,611,Pending
INV00096,C032,2025-02-01,3939,Posted
INV00097,C060,2025-06-20,4551,Pending
INV00098,C077,2025-03-23,3825,Pending
INV00099,C093,2025-05-10,3695,Pending
INV00100,C058,2025-02-10,4088,Posted
INV00101,C034,2025-03-05,2471,Failed
INV00102,C100,2025-05-14,4169,Pending
INV00103,C031,2025-03-12,3803,Posted
INV00104,C092,2025-03-15,2120,Posted
INV00105,C043,2025-03-23,4624,Posted
INV00106,C018,2025-02-08,2094,Posted
INV00107,C089,2025-02-09,1952,Posted
INV00108,C054,2025-04-15,2910,Posted
INV00109,C060,2025-04-17,710,Posted
INV00110,C054,2025-04-10,4984,Pending
INV00111,C003,2025-05-28,3316,Posted
INV00112,C001,2025-04-01,2646,Failed
INV00113,C050,2025-04-18,4609,Failed
INV00114,C095,2025-05-20,2006,Posted
INV00115,C029,2025-03-11,3770,Posted
INV00116,C004,2025-04-10,2953,Pending
INV00117,C087,2025-04-14,1552,Posted
INV00118,C017,2025-06-09,4575,Posted
INV00119,C051,2025-06-01,4823,Pending
INV00120,C004,2025-01-22,3711,Posted
INV00121,C060,2025-02-16,611,Posted
INV00122,C049,2025-03-25,1933,Posted
INV00123,C042,2025-03-28,3305,Posted
INV00124,C097,2025-04-18,2266,Posted
INV00125,C061,2025-01-05,4618,Posted
INV00126,C045,2025-02-27,762,Failed
INV00127,C084,2025-01-11,454,Posted
INV00128,C026,2025-01-06,1448,Posted
INV00129,C017,2025-05-02,1137,Pending
INV00130,C028,2025-04-30,2299,Failed
INV00131,C048,2025-02-12,1138,Failed
INV00132,C021,2025-03-21,1085,Pending
INV00133,C004,2025-03-21,4916,Pending
INV00134,C049,2025-04-12,1824,Posted
INV00135,C076,2025-06-26,2189,Posted
INV00136,C090,2025-03-19,1191,Pending
INV00137,C006,2025-03-30,4564,Posted
INV00138,C085,2025-04-05,764,Posted
INV00139,C083,2025-03-29,303,Posted
INV00140,C063,2025-01-28,3751,Posted
INV00141,C082,2025-04-28,1453,Posted
INV00142,C023,2025-05-14,2412,Pending
INV00143,C069,2025-05-04,4008,Posted
INV00144,C094,2025-06-01,2398,Posted
INV00145,C032,2025-01-23,2484,Posted
INV00146,C032,2025-04-29,4868,Pending
INV00147,C086,2025-04-08,2955,Posted
INV00148,C064,2025-03-25,1689,Posted
INV00149,C028,2025-04-01,2316,Posted
INV00150,C036,2025-06-02,2463,Pending
INV00151,C002,2025-05-13,1765,Posted
INV00152,C031,2025-04-15,4202,Pending
INV00153,C098,2025-03-03,4100,Pending
INV00154,C092,2025-05-06,3871,Posted
INV00155,C012,2025-03-17,2015,Posted
INV00156,C089,2025-03-04,2708,Pending
INV00157,C075,2025-04-05,4076,Pending
INV00158,C068,2025-03-30,3685,Failed
INV00159,C071,2025-03-26,3082,Pending
INV00160,C059,2025-03-11,2711,Posted
INV00161,C030,2025-01-31,1777,Posted
INV00162,C016,2025-05-18,1716,Posted
INV00163,C028,2025-05-04,2465,Failed
INV00164,C076,2025-05-15,2518,Posted
INV00165,C025,2025-03-17,2063,Posted
INV00166,C023,2025-03-19,315,Failed
INV00167,C069,2025-02-02,2447,Posted
INV00168,C007,2025-05-22,2593,Pending
INV00169,C017,2025-06-13,4221,Posted
INV00170,C002,2025-05-27,2529,Posted
INV00171,C062,2025-04-23,2991,Posted
INV00172,C007,2025-03-06,4113,Posted
INV00173,C009,2025-04-13,4228,Posted
INV00174,C074,2025-06-11,639,Posted
INV00175,C020,2025-05-25,2689,Posted
INV00176,C032,2025-01-31,4771,Failed
INV00177,C054,2025-06-05,2048,Failed
INV00178,C067,2025-04-08,3890,Posted
INV00179,C039,2025-05-31,3712,Posted
INV00180,C073,2025-06-08,693,Pending
INV00181,C095,2025-01-26,1902,Pending
INV00182,C028,2025-03-09,865,Posted
INV00183,C031,2025-02-14,4721,Posted
INV00184,C021,2025-01-01,3546,Posted
INV00185,C089,2025-06-02,4049,Posted
INV00186,C005,2025-03-01,2560,Failed
INV00187,C037,2025-06-29,3919,Posted
INV00188,C088,2025-03-01,2367,Pending
INV00189,C076,2025-06-19,1820,Posted
INV00190,C015,2025-05-20,2041,Pending
INV00191,C020,2025-03-10,1365,Posted
INV00192,C008,2025-02-12,2719,Pending
INV00193,C096,2025-05-26,2564,Posted
INV00194,C016,2025-04-30,2691,Pending
INV00195,C052,2025-03-11,4299,Posted
INV00196,C064,2025-04-23,858,Pending
INV00197,C006,2025-04-21,2840,Pending
INV00198,C033,2025-01-07,948,Posted
INV00199,C087,2025-05-28,369,Failed
INV00200,C087,2025-03-10,4920,Posted
INV00201,C098,2025-02-14,4054,Posted
INV00202,C084,2025-04-24,2478,Posted
INV00203,C075,2025-04-22,4228,Posted
INV00204,C061,2025-03-31,3545,Posted
INV00205,C042,2025-06-21,1056,Posted
INV00206,C043,2025-04-16,4258,Posted
INV00207,C085,2025-04-13,4706,Posted
INV00208,C059,2025-01-23,2776,Posted
INV00209,C042,2025-01-30,3511,Posted
INV00210,C001,2025-06-18,4644,Posted
INV00211,C053,2025-01-14,1736,Posted
INV00212,C047,2025-06-09,4283,Pending
INV00213,C057,2025-01-14,1867,Posted
INV00214,C071,2025-02-03,2559,Posted
INV00215,C090,2025-05-05,1194,Posted
INV00216,C081,2025-06-05,2160,Failed
INV00217,C021,2025-03-21,4712,Posted
INV00218,C071,2025-04-15,963,Posted
INV00219,C015,2025-04-29,1162,Pending
INV00220,C020,2025-05-08,2590,Posted
INV00221,C091,2025-03-11,3603,Posted
INV00222,C061,2025-03-04,3941,Pending
INV00223,C019,2025-04-09,1761,Pending
INV00224,C066,2025-02-04,771,Posted
INV00225,C099,2025-04-17,2984,Posted
INV00226,C035,2025-01-01,2517,Failed
INV00227,C039,2025-05-31,4950,Pending
INV00228,C063,2025-02-08,3858,Posted
INV00229,C062,2025-03-30,2923,Pending
INV00230,C098,2025-05-20,3290,Posted
INV00231,C042,2025-02-18,2156,Pending
INV00232,C050,2025-03-01,3565,Posted
INV00233,C041,2025-05-02,3323,Posted
INV00234,C085,2025-06-16,1446,Posted
INV00235,C005,2025-02-02,4314,Pending
INV00236,C043,2025-01-26,3806,Posted
INV00237,C068,2025-04-27,325,Failed
INV00238,C019,2025-04-15,1464,Posted
INV00239,C061,2025-03-09,2973,Pending
INV00240,C089,2025-04-12,857,Posted
INV00241,C087,2025-05-17,3313,Posted
INV00242,C081,2025-05-05,4632,Posted
INV00243,C080,2025-01-18,2123,Pending
INV00244,C088,2025-03-15,2063,Failed
INV00245,C012,2025-04-22,1006,Failed
INV00246,C082,2025-06-30,1023,Posted
INV00247,C022,2025-06-27,2653,Posted
INV00248,C006,2025-03-25,659,Posted
INV00249,C046,2025-04-06,3728,Posted
INV00250,C032,2025-05-16,3575,Pending
INV00251,C088,2025-02-16,1592,Posted
INV00252,C011,2025-06-06,3333,Pending
INV00253,C088,2025-03-03,4276,Pending
INV00254,C019,2025-03-01,3977,Pending
INV00255,C033,2025-04-28,2291,Pending
INV00256,C002,2025-04-30,2556,Pending
INV00257,C070,2025-02-10,805,Posted
INV00258,C045,2025-05-31,2650,Pending
INV00259,C055,2025-06-26,2248,Posted
INV00260,C039,2025-02-20,3351,Posted
INV00261,C014,2025-03-02,3324,Pending
INV00262,C046,2025-05-28,2623,Pending
INV00263,C038,2025-01-06,3442,Posted
INV00264,C002,2025-05-25,601,Pending
INV00265,C096,2025-05-08,2544,Failed
INV00266,C030,2025-06-05,3086,Posted
INV00267,C082,2025-02-18,2253,Pending
INV00268,C097,2025-06-18,1320,Pending
INV00269,C013,2025-06-10,522,Posted
INV00270,C057,2025-01-09,4947,Posted
INV00271,C094,2025-02-03,938,Posted
INV00272,C042,2025-04-17,1638,Posted
INV00273,C017,2025-05-19,3197,Posted
INV00274,C065,2025-03-11,1547,Posted
INV00275,C062,2025-03-17,2974,Posted
INV00276,C060,2025-01-20,1353,Failed
INV00277,C029,2025-06-23,3455,Pending
INV00278,C047,2025-01-24,3432,Posted
INV00279,C034,2025-05-18,1212,Posted
INV00280,C048,2025-06-22,2347,Pending
INV00281,C049,2025-06-13,3243,Posted
INV00282,C087,2025-03-01,4062,Posted
INV00283,C080,2025-05-24,2887,Pending
INV00284,C029,2025-06-15,717,Pending
INV00285,C060,2025-06-29,2675,Pending
INV00286,C053,2025-01-30,1345,Posted
INV00287,C005,2025-03-19,4235,Posted
INV00288,C013,2025-03-02,4603,Posted
INV00289,C050,2025-04-27,3239,Pending
INV00290,C096,2025-06-28,4625,Posted
INV00291,C076,2025-02-09,3598,Pending
INV00292,C013,2025-05-06,3543,Posted
INV00293,C005,2025-06-26,3235,Posted
INV00294,C057,2025-04-24,2134,Posted
INV00295,C013,2025-06-25,3209,Posted
INV00296,C083,2025-04-02,696,Posted
INV00297,C036,2025-02-18,1200,Posted
INV00298,C012,2025-06-19,1937,Pending
INV00299,C082,2025-06-02,374,Posted
INV00300,C043,2025-03-04,1231,Pending
INV00301,C027,2025-01-18,4740,Posted
INV00302,C076,2025-02-25,2108,Posted
INV00303,C100,2025-02-07,223,Posted
INV00304,C019,2025-02-03,4625,Posted
INV00305,C023,2025-01-29,411,Posted
INV00306,C002,2025-04-02,2149,Pending
INV00307,C042,2025-01-05,1627,Posted
INV00308,C007,2025-02-02,3648,Posted
INV00309,C015,2025-01-17,4101,Posted
INV00310,C100,2025-04-03,4404,Pending
INV00311,C014,2025-04-26,4327,Posted
INV00312,C079,2025-01-12,4471,Posted
INV00313,C059,2025-06-14,455,Posted
INV00314,C062,2025-04-13,3692,Pending
INV00315,C014,2025-05-06,3833,Posted
INV00316,C011,2025-03-24,1415,Posted
INV00317,C017,2025-03-12,4995,Pending
INV00318,C092,2025-03-25,3320,Pending
INV00319,C068,2025-03-17,3916,Posted
INV00320,C078,2025-04-21,1012,Pending
INV00321,C015,2025-06-17,4716,Failed
INV00322,C028,2025-04-21,3899,Posted
INV00323,C053,2025-03-28,3915,Posted
INV00324,C054,2025-01-25,2760,Posted
INV00325,C041,2025-06-20,2288,Posted
INV00326,C020,2025-06-25,4085,Posted
INV00327,C012,2025-01-22,963,Posted
INV00328,C013,2025-04-06,1265,Pending
INV00329,C008,2025-05-31,4800,Pending
INV00330,C043,2025-06-21,1201,Posted
INV00331,C046,2025-06-20,3664,Failed
INV00332,C007,2025-03-15,2759,Posted
INV00333,C014,2025-05-28,4356,Posted
