sage_transaction_id,order_id,posting_date,ledger_account,debit_amount,credit_amount,net_amount,transaction_status,source_system
SAGE_TXN_0001,O1001,2025-04-05,Receivables,6833.67,0.0,-6833.67,Pending,SAGE
SAGE_TXN_0002,O1002,2025-08-22,Receivables,9608.3,0.0,-9608.3,Pending,SAGE
SAGE_TXN_0003,O1003,2025-04-12,Receivables,9143.27,0.0,-9143.27,Pending,SAGE
SAGE_TXN_0004,O1004,2025-06-04,Online Revenue,0.0,5278.7,5278.7,Posted,SAGE
SAGE_TXN_0005,O1005,2025-04-19,Online Revenue,0.0,5529.2,5529.2,Posted,SAGE
SAGE_TXN_0006,O1006,2025-04-13,Refunds,9618.38,0.0,-9618.38,Failed,SAGE
SAGE_TXN_0007,O1007,2025-02-02,Receivables,4228.84,0.0,-4228.84,Pending,SAGE
SAGE_TXN_0008,O1008,2025-04-10,Refunds,9998.43,0.0,-9998.43,Failed,SAGE
SAGE_TXN_0009,O1009,2025-05-05,Sales Revenue,0.0,950.5,950.5,Posted,SAGE
SAGE_TXN_0010,O1010,2025-06-19,Sales Revenue,0.0,3713.57,3713.57,Posted,SAGE
SAGE_TXN_0011,O1011,2025-04-28,Receivables,1641.53,0.0,-1641.53,Pending,SAGE
SAGE_TXN_0012,O1012,2025-03-01,Refunds,4890.87,0.0,-4890.87,Failed,SAGE
SAGE_TXN_0013,O1013,2025-08-07,Receivables,8010.1,0.0,-8010.1,Pending,SAGE
SAGE_TXN_0014,O1014,2025-07-19,Refunds,9584.47,0.0,-9584.47,Failed,SAGE
SAGE_TXN_0015,O1015,2025-03-03,Sales Revenue,0.0,6524.79,6524.79,Posted,SAGE
SAGE_TXN_0016,O1016,2025-01-30,Receivables,699.09,0.0,-699.09,Pending,SAGE
SAGE_TXN_0017,O1017,2025-06-04,Sales Revenue,0.0,7447.91,7447.91,Posted,SAGE
SAGE_TXN_0018,O1018,2025-03-02,Receivables,1416.27,0.0,-1416.27,Pending,SAGE
SAGE_TXN_0019,O1019,2025-06-24,Refunds,6302.71,0.0,-6302.71,Failed,SAGE
SAGE_TXN_0020,O1020,2025-01-04,Sales Revenue,0.0,1479.56,1479.56,Posted,SAGE
SAGE_TXN_0021,O1021,2025-03-11,Refunds,3621.71,0.0,-3621.71,Failed,SAGE
SAGE_TXN_0022,O1022,2025-05-20,Refunds,4387.44,0.0,-4387.44,Failed,SAGE
SAGE_TXN_0023,O1023,2025-03-24,Sales Revenue,0.0,3717.92,3717.92,Posted,SAGE
SAGE_TXN_0024,O1024,2025-02-01,Online Revenue,0.0,3941.2,3941.2,Posted,SAGE
SAGE_TXN_0025,O1025,2025-03-20,Receivables,8662.66,0.0,-8662.66,Pending,SAGE
SAGE_TXN_0026,O1026,2025-03-12,Refunds,2608.73,0.0,-2608.73,Failed,SAGE
SAGE_TXN_0027,O1027,2025-05-07,Refunds,7025.02,0.0,-7025.02,Failed,SAGE
SAGE_TXN_0028,O1028,2025-08-14,Refunds,2258.35,0.0,-2258.35,Failed,SAGE
SAGE_TXN_0029,O1029,2025-06-16,Sales Revenue,0.0,6875.68,6875.68,Posted,SAGE
SAGE_TXN_0030,O1030,2025-08-23,Refunds,9076.7,0.0,-9076.7,Failed,SAGE
SAGE_TXN_0031,O1031,2025-07-27,Receivables,1750.54,0.0,-1750.54,Pending,SAGE
SAGE_TXN_0032,O1032,2025-07-09,Online Revenue,0.0,1467.7,1467.7,Posted,SAGE
SAGE_TXN_0033,O1033,2025-06-05,Receivables,7905.46,0.0,-7905.46,Pending,SAGE
SAGE_TXN_0034,O1034,2025-02-12,Refunds,3595.49,0.0,-3595.49,Failed,SAGE
SAGE_TXN_0035,O1035,2025-03-21,Online Revenue,0.0,2237.39,2237.39,Posted,SAGE
SAGE_TXN_0036,O1036,2025-02-14,Receivables,2654.83,0.0,-2654.83,Pending,SAGE
SAGE_TXN_0037,O1037,2025-03-19,Refunds,6514.44,0.0,-6514.44,Failed,SAGE
SAGE_TXN_0038,O1038,2025-06-23,Receivables,1236.13,0.0,-1236.13,Pending,SAGE
SAGE_TXN_0039,O1039,2025-04-24,Refunds,1563.5,0.0,-1563.5,Failed,SAGE
SAGE_TXN_0040,O1040,2025-06-14,Refunds,8456.19,0.0,-8456.19,Failed,SAGE
