ticket_id,customer_id,agent_id,created_date,resolved_date,issue_type,priority,ticket_status,resolution_time_hours
T00001,9,A005,2025-05-02,,Late Delivery,Medium,Open,
T00002,62,A005,2025-08-17,,Payment Failure,Medium,Pending,
T00003,17,A001,2025-01-28,2025-01-31,Refund Request,High,Closed,86.0
T00004,55,A005,2025-04-05,,Login Issue,Low,Pending,
T00005,27,A005,2025-03-08,2025-03-08,Payment Failure,Low,Closed,17.0
T00006,1,A002,2025-05-18,,Late Delivery,Low,Pending,
T00007,67,A006,2025-04-12,2025-04-14,Payment Failure,Medium,Closed,60.0
T00008,48,A005,2025-01-17,,Refund Request,Medium,Pending,
T00009,27,A007,2025-05-18,,Late Delivery,High,Pending,
T00010,14,A003,2025-02-13,2025-02-13,Wrong Product,High,Closed,19.0
T00011,55,A005,2025-04-25,,Late Delivery,Medium,Pending,
T00012,38,A008,2025-05-13,,Refund Request,Low,Open,
T00013,20,A006,2025-04-25,,Damaged Product,High,Pending,
T00014,1,A008,2025-03-03,,Wrong Product,Low,Open,
T00015,81,A003,2025-07-21,2025-07-21,Login Issue,Medium,Closed,2.0
T00016,60,A002,2025-07-10,,Damaged Product,Medium,Open,
T00017,99,A005,2025-03-11,2025-03-12,Late Delivery,High,Closed,34.0
T00018,6,A007,2025-03-17,,Late Delivery,High,Pending,
T00019,39,A007,2025-05-01,,Refund Request,Low,Pending,
T00020,32,A008,2025-08-17,,Wrong Product,High,Pending,
T00021,74,A004,2025-01-15,2025-01-15,Damaged Product,High,Closed,16.0
T00022,76,A007,2025-01-29,,Damaged Product,High,Open,
T00023,92,A008,2025-07-16,,Wrong Product,Low,Pending,
T00024,98,A002,2025-07-18,,Damaged Product,Low,Open,
T00025,34,A003,2025-02-24,,Wrong Product,High,Open,
T00026,81,A007,2025-01-27,,Damaged Product,Low,Pending,
T00027,92,A008,2025-07-19,,Late Delivery,Medium,Pending,
T00028,43,A008,2025-08-22,2025-08-22,Damaged Product,High,Closed,3.0
T00029,33,A002,2025-08-14,,Wrong Product,Low,Pending,
T00030,16,A006,2025-08-23,,Wrong Product,Medium,Open,
T00031,67,A007,2025-04-28,2025-04-29,Refund Request,Medium,Closed,32.0
T00032,47,A006,2025-02-27,,Login Issue,Medium,Pending,
T00033,32,A001,2025-03-19,2025-03-19,Payment Failure,High,Closed,8.0
T00034,12,A005,2025-06-13,2025-06-14,Refund Request,Low,Closed,28.0
T00035,60,A003,2025-03-17,,Refund Request,Low,Open,
T00036,37,A007,2025-04-15,2025-04-15,Refund Request,Medium,Closed,11.0
T00037,50,A004,2025-07-06,2025-07-07,Wrong Product,Low,Closed,46.0
T00038,73,A005,2025-02-05,,Wrong Product,Low,Pending,
